loan_amnt,term,int_rate,installment,grade,emp_length,home_ownership,annual_inc,purpose,dti,loan_status
16795,36 months,19.85413042399962,277.87510039256136,G,5-10 years,OWN,94328,debt_consolidation,8.779652930022234,Charged Off
1860,60 months,13.509866688961507,20.940293367890337,B,3-5 years,OTHER,77724,small_business,16.36283850635139,Fully Paid
39158,60 months,11.918699850939259,388.9270406358996,G,3-5 years,OTHER,106133,credit_card,4.002490065696213,Charged Off
12284,60 months,12.420775259692054,127.14733607504765,E,5-10 years,OTHER,56405,debt_consolidation,20.749302059199547,Charged Off
7265,60 months,24.752991274721158,149.85873467570767,A,5-10 years,OWN,118232,small_business,23.85034610785411,Fully Paid
17850,36 months,5.80218382824965,86.30748444521355,B,5-10 years,MORTGAGE,128659,small_business,4.900633492294695,Fully Paid
38194,36 months,22.340629922448972,711.0650160483468,B,3-5 years,MORTGAGE,35989,credit_card,3.129392620556465,Fully Paid
22962,60 months,16.57350817144787,317.134078860655,C,5-10 years,OTHER,48931,credit_card,4.365464483620775,Fully Paid
17023,36 months,13.77230838379181,195.37167134773998,C,< 1 year,RENT,29290,credit_card,26.313826856955053,Charged Off
2685,36 months,19.50515320830273,43.64278030357736,E,10+ years,MORTGAGE,58367,debt_consolidation,15.845677852690685,Fully Paid
1769,36 months,14.733378828494057,21.719455956338322,B,10+ years,OWN,141136,car,14.017829880225078,Fully Paid
3433,60 months,22.46846476163321,64.27853293890568,F,1-3 years,MORTGAGE,99878,credit_card,3.2013545730706285,Fully Paid
6311,36 months,23.01403728022517,121.03465772958423,B,1-3 years,OTHER,110477,car,19.486680202708854,Charged Off
38819,60 months,13.434418537469108,434.59224433834447,C,10+ years,RENT,99481,debt_consolidation,26.039987756852696,Charged Off
18568,36 months,10.536555944701032,163.03564231767396,F,< 1 year,MORTGAGE,96298,car,24.845576079703587,Fully Paid
20769,36 months,16.847006571867244,291.5795662425923,A,3-5 years,MORTGAGE,146299,home_improvement,18.78164126942404,Fully Paid
29693,36 months,23.24726691233382,575.2342470232734,A,3-5 years,OTHER,50133,car,2.258361499550209,Fully Paid
7396,60 months,9.21324378011333,56.784292498098495,G,< 1 year,RENT,132616,credit_card,3.3719108152803887,Fully Paid
28480,36 months,17.459331671269656,414.3681383314665,D,3-5 years,RENT,125686,debt_consolidation,1.4792696132947403,Fully Paid
26658,60 months,17.63120440185041,391.6772057871069,C,5-10 years,OTHER,47052,credit_card,7.724376494774079,Fully Paid
19942,60 months,19.66226044830562,326.75399821675893,D,10+ years,OWN,127286,home_improvement,4.069844014811332,Fully Paid
19431,60 months,7.631353702545196,123.57069482846309,F,10+ years,MORTGAGE,105489,credit_card,7.801441207573017,Fully Paid
3747,36 months,19.31649929364177,60.315769044396426,C,< 1 year,OWN,60475,credit_card,11.55174167156885,Fully Paid
1189,36 months,23.18065041331282,22.968161117857452,E,3-5 years,MORTGAGE,102666,credit_card,28.28948352213407,Fully Paid
20118,36 months,8.59366217740484,144.07274640419215,B,1-3 years,MORTGAGE,116622,small_business,18.31128179345076,Fully Paid
36773,36 months,9.750866498477553,298.8071781237625,E,1-3 years,OWN,77656,home_improvement,25.04921357048887,Charged Off
2899,60 months,24.427901880832792,59.01373962711188,F,3-5 years,OTHER,24633,credit_card,21.31054502136997,Charged Off
2267,60 months,8.619539054189795,16.28374586320689,C,1-3 years,OTHER,37304,credit_card,3.3750939157989523,Fully Paid
32551,60 months,22.087701867391583,599.1473195712196,F,< 1 year,MORTGAGE,127573,credit_card,22.077612191218464,Fully Paid
12394,36 months,14.845557128960696,153.32986254694904,B,< 1 year,OTHER,117820,debt_consolidation,8.252966446773733,Charged Off
4556,60 months,9.944621488063541,37.75641291634791,A,3-5 years,MORTGAGE,66546,small_business,19.17323540984119,Charged Off
4890,36 months,22.414998025450227,91.34111695370967,A,1-3 years,OTHER,27008,debt_consolidation,10.228859209289656,Fully Paid
31740,60 months,13.90610510005331,367.81647989641004,F,< 1 year,MORTGAGE,68291,small_business,29.930167897939775,Fully Paid
15502,36 months,15.296347078593804,197.60331034363432,D,< 1 year,OTHER,47405,credit_card,7.906544384903334,Fully Paid
22777,36 months,12.184667387995313,231.27514091364102,C,5-10 years,RENT,137069,home_improvement,8.37391412322809,Fully Paid
11627,60 months,16.85901702869855,163.3498258272317,C,5-10 years,OWN,56386,car,27.920167666871947,Fully Paid
9792,60 months,8.270477451700454,67.48709600587571,A,< 1 year,RENT,110909,car,0.7393321390896801,Fully Paid
9433,60 months,12.821630733035214,100.78870225393432,G,3-5 years,OWN,40827,credit_card,20.900669636195907,Fully Paid
12016,60 months,24.38824644670575,244.2076410863469,E,10+ years,OWN,53040,debt_consolidation,21.759791722076343,Fully Paid
24897,36 months,10.16266865402255,210.84996789933282,G,10+ years,MORTGAGE,80354,home_improvement,25.09135732231198,Fully Paid
3612,60 months,18.134733290825842,54.58554720538578,B,< 1 year,OWN,98543,small_business,29.23317931915426,Fully Paid
24483,60 months,11.503801284493898,234.70630570688675,E,< 1 year,RENT,38157,credit_card,29.268057574699572,Fully Paid
18159,60 months,20.46946251373201,309.7541414890497,E,< 1 year,RENT,117693,home_improvement,1.9583027269939168,Fully Paid
15541,36 months,7.6174732143669965,98.6526260203979,F,3-5 years,OTHER,55315,home_improvement,24.655179682587075,Fully Paid
36920,36 months,24.396420901570895,750.5965497383312,A,5-10 years,RENT,55932,small_business,19.38929800972144,Charged Off
27531,60 months,14.075790827672785,322.9338310638829,G,< 1 year,OTHER,41164,home_improvement,19.420264031192737,Fully Paid
2585,36 months,9.72100926692928,20.94067412917682,G,< 1 year,OWN,34414,debt_consolidation,3.850497798440844,Charged Off
4943,60 months,6.469934946600253,26.65074036753754,A,1-3 years,RENT,147597,debt_consolidation,19.5056149933696,Charged Off
24939,36 months,8.395158101750814,174.47237324963632,G,3-5 years,OWN,34327,debt_consolidation,29.474477418037434,Fully Paid
20457,36 months,15.395478971120353,262.4544277601742,A,< 1 year,RENT,133880,home_improvement,27.35455708618341,Fully Paid
2021,36 months,11.740063528625726,19.772223659460494,F,1-3 years,RENT,20946,debt_consolidation,13.173919824145516,Fully Paid
12653,36 months,21.57766731765219,227.51852047521095,D,10+ years,OTHER,34693,small_business,1.1984391985828302,Charged Off
14417,60 months,13.617750473236118,163.60592381053758,E,< 1 year,OWN,47241,home_improvement,10.868804700006145,Charged Off
10692,60 months,9.974285451752598,88.87088337511567,F,< 1 year,RENT,135194,car,24.791709348016656,Charged Off
7873,60 months,17.342899732080603,113.78387465889216,C,1-3 years,MORTGAGE,115790,home_improvement,21.044973043954982,Fully Paid
